giver_orig,giver,giver_wiki,giver_name,WikidataID
"Their Majesties King Abdullah II, and Queen Rania al Abdullah","Their Majesties King Abdullah II, and Queen Rania al Abdullah",,Their Majesties King Abdullah II,
"His Excellency Gerhard Schroeder, Chancellor of the Federal Republic of Germany","Gerhard Schroeder, Chancellor of the Federal Republic of Germany",,Gerhard Schroeder,
"The Honorable Marc Lefevre, General Counsellor and Mayor of Sainte Mere Eglise","Marc Lefevre, General Counsellor and Mayor of Sainte Mere Eglise",,Marc Lefevre,Q63764602
"His Holiness, John Paul II",John Paul II,,John Paul II,Q989
"Lieutenant General Shaykh Mohammad bin Zayid al-Nuhayyan, Chief of Staff of the Armed Forces of the United Arab Emirates","Lieutenant General Shaykh Mohammad bin Zayid al-Nuhayyan, Chief of Staff of the Armed Forces of the United Arab Emirates",,Shaykh Mohammad bin Zayid al-Nuhayyan,
"The Honorable Max Avenel, Mayor of Agon-Countainville","Max Avenel, Mayor of Agon-Countainville",,Max Avenel,
"Student Delegation, L'Ecole Speciale Militaire de Saint-Cyr","Student Delegation, L'Ecole Speciale Militaire de Saint-Cyr",,Student Delegation,
"His Royal Highness Prince Bandar bin Sultan, Ambassador of Saudi Arabia","Prince Bandar bin Sultan, Ambassador of Saudi Arabia",,Prince Bandar bin Sultan,Q556137
"His Excellency Hugo Guiliani Cury, Ambassador of the Dominican Republic","Hugo Guiliani Cury, Ambassador of the Dominican Republic",,Hugo Guiliani Cury,
His Excellency The President of the Russian Federation and Mrs. Putina,The President of the Russian Federation and Putina,,of the Russian Federation and Putina,
"The Honorable Leonel Cota Montano, Governor of Baja California Sur","Leonel Cota Montano, Governor of Baja California Sur",,Leonel Cota Montano,Q2207912
His Excellency The Prime Minister of the Republic of Hungary and Mrs. Medgyessy,The Prime Minister of the Republic of Hungary and Medgyessy,,The Prime Minister of the Republic of Hungary and Medgyessy,
His Excellency The Prime Minister of the Czech Republic and Mrs. Spidlova,The Prime Minister of the Czech Republic and Spidlova,,The Prime Minister of the Czech Republic and Spidlova,
"His Excellency Daniel T. Arap Moi, President of the Republic of Kenya","Daniel T. Arap Moi, President of the Republic of Kenya",,Daniel T. Arap Moi,
His Excellency The Prime Minister of the Republic of Turkey and Mrs. Ecevit,The Prime Minister of the Republic of Turkey and Ecevit,,The Prime Minister of the Republic of Turkey and Ecevit,
"Mrs. Jewel H. Howard-Taylor, The First Lady of the Republic of Liberia","Jewel H. Howard-Taylor, The of the Republic of Liberia",,Jewel H. Howard-Taylor,
"Dr. Arzu Deuba, Prime Minister's Residence","Arzu Deuba, Prime Minister's Residence",,Arzu Deuba,
His Excellency The President of the Republic of Hungary and Mrs. Madl,The President of the Republic of Hungary and Madl,,of the Republic of Hungary and Madl,
"His Excellency Viktor Orban, Prime Minister of the Republic of Hungary","Viktor Orban, Prime Minister of the Republic of Hungary",,Viktor Orban,
"His Excellency Abel Pacheco de la Espriella, President of the Republic of Costa Rica","Abel Pacheco de la Espriella, President of the Republic of Costa Rica",,Abel Pacheco de la Espriella,
"Dr. Zimat Karzai, Office of the President of the Afghan Transitional administration","Zimat Karzai, Office of the President of the Afghan Transitional administration",,Zimat Karzai,
Mrs. Jolanta Kwasniewska,Jolanta Kwasniewska,,Jolanta Kwasniewska,Q55756
His Excellency The President of the Czech Republic and Mrs. Havlova,The President of the Czech Republic and Havlova,,of the Czech Republic and Havlova,
"Police Colonel Hkam Awng, Joint Secretary of the Central Committee for Drug Abuse Control, Ministry of Home Affairs of the Union of Burma","Police Colonel Hkam Awng, Joint Secretary of the Central Committee for Drug Abuse Control, Ministry of Home Affairs of the Union of Burma",,Hkam Awng,
"His Excellency Phanthong Phommahaxay, Ambassador of the Lao People's Democratic Republic","Phanthong Phommahaxay, Ambassador of the Lao People's Democratic Republic",,Phanthong Phommahaxay,
"His Highness Sheikh Sulman bin Hamad bin Isa Al-Khalifa, Crown Prince of the State of Bahrain and Head of the Bahrain Defense Force","Sheikh Sulman bin Hamad bin Isa Al-Khalifa, Crown Prince of the State of Bahrain and Head of the Bahrain Defense Force",,Sheikh Sulman bin Hamad bin Isa Al-Khalifa,
"His Excellency, Ali Abduallah Saleh, President of the Republic of Yemen","Ali Abduallah Saleh, President of the Republic of Yemen",,Ali Abduallah Saleh,
"His Excellency Ivica Racan, Prime Minister of the Republic of Croatia","Ivica Racan, Prime Minister of the Republic of Croatia",,Ivica Racan,
"His Excellency Mr. Yonus Qanooni, Minister of Interior of the Interim Administration of Afghanistan","Yonus Qanooni, Minister of Interior of the Interim Administration of Afghanistan",,Yonus Qanooni,
"His Excellency Mohamed Hussein Tantaway, Minister of Defense and Military Production of the Arab Republic of Egypt","Mohamed Hussein Tantaway, Minister of Defense and Military Production of the Arab Republic of Egypt",,Mohamed Hussein Tantaway,
"His Highness, Sheikh Salman Bin Hamad Al-Khalifa, Crown Prince and Commander in Chief of the Bahrain Defence Force","Sheikh Salman Bin Hamad Al-Khalifa, Crown Prince and Commander in Chief of the Bahrain Defence Force",,Sheikh Salman Bin Hamad Al-Khalifa,
"His Excellency. Jose Eduardo dos Santos, President of the Republic of Angola","His Excellency. Jose Eduardo dos Santos, President of the Republic of Angola",,His Excellency. Jose Eduardo dos Santos,
"Mr. Philip Reed, Director, Cabinet War Rooms Museum, London","Philip Reed, Director, Cabinet War Rooms Museum, London",,Philip Reed,
"His Majesty, Sheikh Hamad bin Essa Al Khalifa, King of the Kingdom of Bahrain","Sheikh Hamad bin Essa Al Khalifa, King of the Kingdom of Bahrain",,Sheikh Hamad bin Essa Al Khalifa,
"His Highness, Shaykh Zayid bin Sultan Al Nahayyan, President of the United Arab Emirates","Shaykh Zayid bin Sultan Al Nahayyan, President of the United Arab Emirates",,Shaykh Zayid bin Sultan Al Nahayyan,
